,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
105,dcloudio/uni-app,https://github.com/dcloudio/uni-app.git,38128,1334326,200,817,JavaScript,0,0.0
106,agalwood/Motrix,https://github.com/agalwood/Motrix.git,37962,69583,68,170,JavaScript,0,0.0
107,discourse/discourse,https://github.com/discourse/discourse.git,37912,585274,854,5854,Ruby,0,0.0
108,isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines.git,37869,26036,322,104,Python,0,0.0
109,vuejs/core,https://github.com/vuejs/core.git,37718,22939,411,902,TypeScript,0,0.0
110,google/zx,https://github.com/google/zx.git,37430,517,46,277,JavaScript,0,0.0
111,hashicorp/terraform,https://github.com/hashicorp/terraform.git,37337,299596,2834,1872,Go,0,0.0
112,vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify.git,37187,83682,816,2194,TypeScript,0,0.0
113,poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards.git,36403,3345,1025,318,JavaScript,0,0.0
114,romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k.git,36304,72074,246,189,Shell,0,0.0
115,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg.git,36246,354049,1294,6128,C,0,0.0
116,Homebrew/brew,https://github.com/Homebrew/brew.git,36043,72317,892,6308,Ruby,0,0.0
117,fastlane/fastlane,https://github.com/fastlane/fastlane.git,37079,81326,1254,202,Ruby,0,0.0
118,openai/whisper,https://github.com/openai/whisper.git,37033,8446,62,115,Python,0,0.0
119,xtekky/gpt4free,https://github.com/xtekky/gpt4free.git,36746,158781,68,488,Python,0,0.0
120,nocodb/nocodb,https://github.com/nocodb/nocodb.git,36065,925430,142,13131,TypeScript,0,0.0
121,laurent22/joplin,https://github.com/laurent22/joplin.git,35973,373493,534,2179,TypeScript,0,0.0
122,openai/openai-cookbook,https://github.com/openai/openai-cookbook.git,35904,118617,442,422,Jupyter Notebook,0,0.0
123,Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript.git,35898,124951,40,207,JavaScript,0,0.0
124,gorhill/uBlock,https://github.com/gorhill/uBlock.git,35882,139013,103,1585,JavaScript,0,0.0
125,apache/spark,https://github.com/apache/spark.git,35794,477614,1951,5042,Scala,0,0.0
126,videojs/video.js,https://github.com/videojs/video.js.git,35607,126669,436,167,JavaScript,0,0.0
127,php/php-src,https://github.com/php/php-src.git,35471,511293,910,5137,C,0,0.0
128,evanw/esbuild,https://github.com/evanw/esbuild.git,35335,16916,98,1026,Go,0,0.0
129,jesseduffield/lazygit,https://github.com/jesseduffield/lazygit.git,35109,37795,194,1420,Go,0,0.0
130,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk.git,35108,57379,267,944,C++,0,0.0
131,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form.git,34918,27830,260,482,TypeScript,0,0.0
132,rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust.git,34694,6401,748,798,Rust,0,0.0
133,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot.git,34671,52023,13,321,Java,0,0.0
134,TanStack/query,https://github.com/TanStack/query.git,34627,35289,605,634,TypeScript,0,0.0
135,lerna/lerna,https://github.com/lerna/lerna.git,34586,34409,311,351,TypeScript,0,0.0
136,photonstorm/phaser,https://github.com/photonstorm/phaser.git,34440,371532,544,1827,JavaScript,0,0.0
137,jgraph/drawio,https://github.com/jgraph/drawio.git,34431,1318732,31,206,JavaScript,0,0.0
138,preactjs/preact,https://github.com/preactjs/preact.git,34426,15683,306,405,JavaScript,0,0.0
139,alibaba/druid,https://github.com/alibaba/druid.git,26881,81464,217,346,Java,0,0.0
140,transloadit/uppy,https://github.com/transloadit/uppy.git,26874,382515,371,704,JavaScript,0,0.0
141,harness/drone,https://github.com/harness/drone.git,26869,28900,313,107,Go,0,0.0
142,slidevjs/slidev,https://github.com/slidevjs/slidev.git,26674,72816,118,365,TypeScript,0,0.0
143,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium.git,26629,2027137,680,2050,Java,0,0.0
144,mobxjs/mobx,https://github.com/mobxjs/mobx.git,26473,19247,309,149,TypeScript,0,0.0
145,kubernetes/minikube,https://github.com/kubernetes/minikube.git,26465,208392,1523,4162,Go,0,0.0
146,hashicorp/consul,https://github.com/hashicorp/consul.git,26432,428489,1894,4149,Go,0,0.0
147,gofiber/fiber,https://github.com/gofiber/fiber.git,26355,217556,301,441,Go,0,0.0
148,dromara/hutool,https://github.com/dromara/hutool.git,26314,53890,246,1724,Java,0,0.0
149,JedWatson/react-select,https://github.com/JedWatson/react-select.git,26162,19110,423,181,TypeScript,0,0.0
150,angular/angular-cli,https://github.com/angular/angular-cli.git,26103,125798,600,1815,TypeScript,0,0.0
151,codemirror/codemirror5,https://github.com/codemirror/codemirror5.git,25893,19138,860,126,JavaScript,0,0.0
152,trpc/trpc,https://github.com/trpc/trpc.git,25733,30556,282,1804,TypeScript,0,0.0
